delta,t1,w1,s1,b1,p1,t2,w2,s2,b2,p2
0.01,0.0114191616766467,0.0168922155688623,0.0105449101796407,0.0172874251497006,0.0147305389221557,0.00743712574850299,0.0118443113772455,0.00773053892215569,0.0141137724550898,0.0102814371257485
0.02,0.0256946107784431,0.0348443113772455,0.0222814371257485,0.0388862275449102,0.0317784431137725,0.0155149700598802,0.022688622754491,0.0162155688622755,0.0301796407185629,0.0207664670658683
0.03,0.0512994011976048,0.0664311377245509,0.0408203592814371,0.0742634730538922,0.0622934131736527,0.0318383233532934,0.0439221556886228,0.0301556886227545,0.0584311377245509,0.0413293413173653
0.04,0.0913293413173653,0.113946107784431,0.0703173652694611,0.126526946107784,0.108928143712575,0.0596047904191617,0.0791497005988024,0.0530838323353293,0.102119760479042,0.0757365269461078
0.05,0.146736526946108,0.175407185628743,0.106395209580838,0.194155688622754,0.17059880239521,0.0995688622754491,0.126329341317365,0.0823712574850299,0.162023952095808,0.122850299401198
0.06,0.220850299401198,0.25662874251497,0.159784431137725,0.281976047904192,0.251682634730539,0.157922155688623,0.193958083832335,0.127982035928144,0.240221556886228,0.189820359281437
0.07,0.301664670658683,0.34240119760479,0.219868263473054,0.371263473053892,0.336323353293413,0.225610778443114,0.268335329341317,0.180083832335329,0.32414371257485,0.264149700598802
0.08,0.386287425149701,0.427347305389222,0.283329341317365,0.460988023952096,0.421736526946108,0.300035928143713,0.346185628742515,0.237544910179641,0.409508982035928,0.342443113772455
0.09,0.471766467065868,0.512694610778443,0.350982035928144,0.547520958083832,0.506706586826347,0.380281437125749,0.429395209580838,0.298874251497006,0.495604790419162,0.426281437125749
0.1,0.551077844311377,0.58848502994012,0.416592814371258,0.626035928143713,0.583958083832335,0.457820359281437,0.505287425149701,0.361544910179641,0.574652694610778,0.500928143712575
