delta,t1,w1,s1,b1,p1,t2,w2,s2,b2,p2
0.01,0.0350838323353293,0.061562874251497,0.0670059880239521,0.0370718562874251,0.0372874251497006,0.0234910179640719,0.0446586826347305,0.0528682634730539,0.0263952095808383,0.0256107784431138
0.02,0.130005988023952,0.174736526946108,0.155473053892216,0.135389221556886,0.135820359281437,0.0934191616766467,0.132748502994012,0.123497005988024,0.103616766467066,0.0995329341317365
0.03,0.317179640718563,0.365293413173653,0.301017964071856,0.325011976047904,0.326538922155689,0.250479041916168,0.301209580838323,0.249592814371258,0.269592814371257,0.261712574850299
0.04,0.529011976047904,0.564760479041916,0.461604790419162,0.538299401197605,0.538604790419162,0.453688622754491,0.494916167664671,0.403047904191617,0.476568862275449,0.466508982035928
0.05,0.710946107784431,0.728694610778443,0.606179640718563,0.720425149700599,0.717946107784431,0.643640718562874,0.667335329341317,0.547892215568862,0.665083832335329,0.654239520958084
0.06,0.838748502994012,0.849688622754491,0.738838323353293,0.847299401197605,0.843269461077844,0.790550898203593,0.806790419161677,0.69048502994012,0.806544910179641,0.797796407185629
0.07,0.913263473053892,0.918389221556886,0.833784431137725,0.919251497005988,0.915814371257485,0.880844311377246,0.89011377245509,0.795814371257485,0.89177245508982,0.885263473053892
0.08,0.954928143712575,0.955646706586826,0.886880239520958,0.958826347305389,0.956125748502994,0.935437125748503,0.937311377245509,0.859167664670659,0.942502994011976,0.937958083832335
0.09,0.977556886227545,0.976778443113773,0.925491017964072,0.979880239520958,0.978173652694611,0.966317365269461,0.96562874251497,0.905293413173653,0.970455089820359,0.967532934131737
0.1,0.988832335329341,0.988305389221557,0.95277245508982,0.990431137724551,0.989173652694611,0.982221556886228,0.982167664670659,0.938131736526946,0.984892215568862,0.982868263473054
