delta,t2,w2,s2,b2,p2
0.01,0.00144311377245509,0.00183233532934132,0.00467664670658683,0.00163473053892216,0.00141317365269461
0.02,0.000413173652694611,0.000538922155688623,0.00205389221556886,0.000473053892215569,0.000413173652694611
0.03,8.98203592814371e-05,0.000137724550898204,0.000898203592814371,0.00011377245508982,8.98203592814371e-05
0.04,5.98802395209581e-06,5.38922155688623e-05,0.000431137724550898,3.59281437125749e-05,5.98802395209581e-06
0.05,5.98802395209581e-06,2.39520958083832e-05,0.00029940119760479,5.98802395209581e-06,5.98802395209581e-06
0.06,0,0,5.38922155688623e-05,0,0
0.07,0,0,2.9940119760479e-05,0,0
0.08,0,0,1.19760479041916e-05,0,0
0.09,0,0,5.98802395209581e-06,0,0
0.1,0,0,0,0,0
