delta,t2,w2,s2,b2,p2
0.01,0.0139640718562874,0.0155988023952096,0.0254251497005988,0.0152574850299401,0.0139940119760479
0.02,0.00785029940119761,0.00868263473053892,0.0161377245508982,0.00874251497005988,0.00790419161676647
0.03,0.00420359281437126,0.00486826347305389,0.0108023952095808,0.00475449101796407,0.00422754491017964
0.04,0.0021377245508982,0.00249700598802395,0.0065748502994012,0.00237125748502994,0.0021497005988024
0.05,0.00104191616766467,0.00134730538922156,0.00389221556886228,0.00117365269461078,0.00105389221556886
0.06,0.000455089820359281,0.000538922155688623,0.00210778443113772,0.000497005988023952,0.000449101796407186
0.07,0.000305389221556886,0.000383233532934132,0.00156287425149701,0.000359281437125749,0.000311377245508982
0.08,0.000107784431137725,0.000149700598802395,0.000694610778443114,0.000125748502994012,0.000107784431137725
0.09,7.18562874251497e-05,7.78443113772455e-05,0.000407185628742515,7.78443113772455e-05,7.18562874251497e-05
0.1,2.39520958083832e-05,1.19760479041916e-05,0.000131736526946108,2.39520958083832e-05,2.39520958083832e-05
