delta,t2,w2,s2,b2,p2
0.01,0.00831736526946108,0.0104131736526946,0.00807784431137725,0.0119520958083832,0.0088622754491018
0.02,0.00318562874251497,0.00420359281437126,0.00363473053892216,0.00460479041916168,0.00339520958083832
0.03,0.00147305389221557,0.00211976047904192,0.0018502994011976,0.00219760479041916,0.00161077844311377
0.04,0.000724550898203593,0.000832335329341317,0.00101796407185629,0.00107185628742515,0.000802395209580838
0.05,0.000341317365269461,0.000574850299401198,0.000676646706586826,0.000544910179640719,0.000359281437125749
0.06,0.000191616766467066,0.000263473053892216,0.000467065868263473,0.000311377245508982,0.000215568862275449
0.07,7.78443113772455e-05,0.000191616766467066,0.000353293413173653,0.000161676646706587,9.58083832335329e-05
0.08,5.98802395209581e-05,0.000131736526946108,0.000233532934131737,0.000101796407185629,5.98802395209581e-05
0.09,2.39520958083832e-05,5.98802395209581e-05,0.000125748502994012,5.38922155688623e-05,2.39520958083832e-05
0.1,5.98802395209581e-06,2.39520958083832e-05,0.000119760479041916,3.59281437125749e-05,1.79640718562874e-05
