delta,t2,w2,s2,b2,p2
0.01,0.00389221556886228,0.00964670658682635,0.0183053892215569,0.00422754491017964,0.00391616766467066
0.02,0.000532934131736527,0.00224550898203593,0.00683832335329341,0.000592814371257485,0.000538922155688623
0.03,5.98802395209581e-05,0.000652694610778443,0.00238922155688623,7.18562874251497e-05,5.98802395209581e-05
0.04,1.19760479041916e-05,0.000131736526946108,0.000790419161676647,1.19760479041916e-05,1.19760479041916e-05
0.05,0,4.79041916167665e-05,0.000245508982035928,0,0
0.06,0,2.9940119760479e-05,7.78443113772455e-05,0,0
0.07,0,0,2.39520958083832e-05,0,0
0.08,0,5.98802395209581e-06,1.79640718562874e-05,0,0
0.09,0,0,0,0,0
0.1,0,0,0,0,0
