delta,t2,w2,s2,b2,p2
0.01,0.0132574850299401,0.0200419161676647,0.0231497005988024,0.0152095808383234,0.0133413173652695
0.02,0.00436526946107784,0.00711976047904192,0.0102455089820359,0.00516167664670659,0.00438922155688623
0.03,0.00138922155688623,0.00251497005988024,0.00509580838323353,0.00165269461077844,0.00138922155688623
0.04,0.000550898203592814,0.000964071856287425,0.00246107784431138,0.000616766467065868,0.000550898203592814
0.05,0.000173652694610778,0.000353293413173653,0.00101796407185629,0.000215568862275449,0.000173652694610778
0.06,4.79041916167665e-05,0.00011377245508982,0.000389221556886228,5.98802395209581e-05,4.79041916167665e-05
0.07,4.19161676646707e-05,7.18562874251497e-05,0.000287425149700599,4.19161676646707e-05,4.19161676646707e-05
0.08,1.19760479041916e-05,2.39520958083832e-05,8.98203592814371e-05,1.19760479041916e-05,1.19760479041916e-05
0.09,5.98802395209581e-06,5.98802395209581e-06,5.38922155688623e-05,5.98802395209581e-06,5.98802395209581e-06
0.1,0,0,2.9940119760479e-05,0,0
