delta,t2,w2,s2,b2,p2
0.01,0.0269221556886228,0.0267245508982036,0.0215329341317365,0.0337365269461078,0.0246107784431138
0.02,0.0170179640718563,0.0170359281437126,0.0141317365269461,0.0217544910179641,0.0155688622754491
0.03,0.0106467065868263,0.0108922155688623,0.0091437125748503,0.0135748502994012,0.0098622754491018
0.04,0.00611377245508982,0.00638323353293413,0.00626946107784431,0.00825149700598803,0.00546706586826347
0.05,0.00386826347305389,0.0040059880239521,0.0041377245508982,0.00518562874251497,0.00350898203592814
0.06,0.00203592814371258,0.00227544910179641,0.0025688622754491,0.00280239520958084,0.00181437125748503
0.07,0.00143712574850299,0.00148502994011976,0.00183832335329341,0.00197604790419162,0.00125149700598802
0.08,0.000706586826347305,0.00074251497005988,0.00110179640718563,0.000946107784431138,0.00062874251497006
0.09,0.000497005988023952,0.00055688622754491,0.000778443113772455,0.000640718562874252,0.000461077844311377
0.1,0.00018562874251497,0.000245508982035928,0.000508982035928144,0.000275449101796407,0.000179640718562874
