delta,t2,w2,s2,b2,p2
0.01,0.0118862275449102,0.0161736526946108,0.0199461077844311,0.0136047904191617,0.0119461077844311
0.02,0.00344311377245509,0.00530538922155689,0.00924550898203593,0.00401197604790419,0.00346107784431138
0.03,0.000946107784431138,0.00173053892215569,0.00470059880239521,0.00112574850299401,0.000952095808383234
0.04,0.000263473053892216,0.000682634730538922,0.00212574850299401,0.000353293413173653,0.000275449101796407
0.05,7.18562874251497e-05,0.000239520958083832,0.000922155688622754,7.18562874251497e-05,7.18562874251497e-05
0.06,2.39520958083832e-05,7.18562874251497e-05,0.000413173652694611,2.9940119760479e-05,2.39520958083832e-05
0.07,1.79640718562874e-05,3.59281437125749e-05,0.000179640718562874,1.79640718562874e-05,1.79640718562874e-05
0.08,5.98802395209581e-06,2.9940119760479e-05,0.000101796407185629,5.98802395209581e-06,5.98802395209581e-06
0.09,0,5.98802395209581e-06,5.38922155688623e-05,0,0
0.1,0,0,1.19760479041916e-05,0,0
