delta,t2,w2,s2,b2,p2
0.01,0.00315568862275449,0.00225149700598802,0.00210179640718563,0.00650299401197605,0.00333532934131737
0.02,0.00243712574850299,0.00175449101796407,0.00152694610778443,0.00522155688622755,0.00266467065868264
0.03,0.00173053892215569,0.00133532934131737,0.00123353293413174,0.00350898203592814,0.0018622754491018
0.04,0.00117964071856287,0.000826347305389222,0.000916167664670659,0.00260479041916168,0.00125748502994012
0.05,0.000808383233532934,0.000604790419161677,0.000544910179640719,0.00192215568862275,0.000952095808383234
0.06,0.000604790419161677,0.000389221556886228,0.000419161676646707,0.00129940119760479,0.000664670658682635
0.07,0.000419161676646707,0.00025748502994012,0.00029940119760479,0.000940119760479042,0.000479041916167665
0.08,0.000311377245508982,0.000191616766467066,0.000149700598802395,0.000730538922155689,0.000347305389221557
0.09,0.000137724550898204,0.000119760479041916,0.000179640718562874,0.000353293413173653,0.000167664670658683
0.1,0.000167664670658683,0.000119760479041916,0.000137724550898204,0.000365269461077844,0.000191616766467066
