delta,t1,w1,s1,b1,p1,t2,w2,s2,b2,p2
0.01,0.154964071856287,0.179383233532934,0.152065868263473,0.161976047904192,0.155574850299401,0.105239520958084,0.132592814371257,0.119431137724551,0.117562874251497,0.10802994011976
0.02,0.271994011976048,0.287754491017964,0.229808383233533,0.282233532934132,0.272491017964072,0.187988023952096,0.206838323353293,0.171251497005988,0.205287425149701,0.191119760479042
0.03,0.404203592814371,0.408850299401198,0.317652694610778,0.416874251497006,0.404604790419162,0.294592814371258,0.306215568862275,0.239988023952096,0.317083832335329,0.298023952095808
0.04,0.543455089820359,0.540233532934132,0.416377245508982,0.556574850299401,0.543718562874251,0.422808383233533,0.426317365269461,0.323502994011976,0.44837125748503,0.426526946107784
0.05,0.670814371257485,0.658425149700599,0.51485628742515,0.683095808383234,0.67114371257485,0.556233532934132,0.549658682634731,0.41674251497006,0.581047904191617,0.559802395209581
0.06,0.774868263473054,0.757988023952096,0.605808383233533,0.78522754491018,0.775035928143713,0.675239520958084,0.661209580838323,0.508461077844311,0.697736526946108,0.678065868263473
0.07,0.850101796407186,0.834682634730539,0.688071856287425,0.85851497005988,0.850311377245509,0.77059880239521,0.754604790419162,0.597712574850299,0.788988023952096,0.772916167664671
0.08,0.905383233532934,0.891958083832335,0.759664670658683,0.911616766467066,0.905502994011976,0.845988023952096,0.83048502994012,0.679431137724551,0.860335329341318,0.847580838323353
0.09,0.942497005988024,0.932149700598803,0.817035928143713,0.946760479041916,0.94248502994012,0.900688622754491,0.887179640718563,0.74677245508982,0.911155688622754,0.901670658682635
0.1,0.96497005988024,0.957964071856287,0.864497005988024,0.967688622754491,0.964958083832335,0.936251497005988,0.925508982035928,0.805670658682635,0.943437125748503,0.936976047904192
