delta,t1,w1,s1,b1,p1,t2,w2,s2,b2,p2
0.01,0.0694071856287425,0.0736107784431138,0.0720239520958084,0.0752634730538922,0.0694670658682635,0.0525568862275449,0.0548562874251497,0.0561676646706587,0.0608622754491018,0.0526526946107784
0.02,0.0938802395209581,0.0991616766467066,0.0925988023952096,0.101167664670659,0.0938862275449102,0.0621137724550898,0.0662335329341317,0.0628443113772455,0.071748502994012,0.0622395209580838
0.03,0.125041916167665,0.131353293413174,0.11948502994012,0.133994011976048,0.125167664670659,0.0783473053892216,0.0823053892215569,0.0772275449101796,0.0894491017964072,0.0786287425149701
0.04,0.162425149700599,0.168413173652695,0.148149700598802,0.173419161676647,0.162544910179641,0.101335329341317,0.105556886227545,0.0931916167664671,0.114059880239521,0.10151497005988
0.05,0.204395209580838,0.210275449101796,0.180317365269461,0.217311377245509,0.204359281437126,0.129233532934132,0.132538922155689,0.113275449101796,0.144179640718563,0.129610778443114
0.06,0.251922155688623,0.258215568862275,0.220946107784431,0.266724550898204,0.251640718562874,0.163491017964072,0.167263473053892,0.141341317365269,0.180383233532934,0.163892215568862
0.07,0.310676646706587,0.315946107784431,0.267311377245509,0.326395209580838,0.310383233532934,0.208562874251497,0.210778443113772,0.175281437125749,0.228958083832335,0.209101796407186
0.08,0.364958083832335,0.370359281437126,0.309461077844311,0.382269461077844,0.364688622754491,0.252994011976048,0.25574251497006,0.207245508982036,0.274712574850299,0.253311377245509
0.09,0.424748502994012,0.428269461077844,0.358724550898204,0.442580838323353,0.424694610778443,0.306011976047904,0.307107784431138,0.247353293413174,0.329838323353293,0.306461077844311
0.1,0.490922155688623,0.492874251497006,0.413149700598802,0.508550898203593,0.490520958083832,0.364682634730539,0.365502994011976,0.294892215568862,0.389491017964072,0.365005988023952
