delta,t1,w1,s1,b1,p1,t2,w2,s2,b2,p2
0.01,0.334544910179641,0.378784431137725,0.335904191616767,0.339137724550898,0.333275449101796,0.233467065868263,0.289868263473054,0.268461077844311,0.241538922155689,0.234317365269461
0.02,0.62140119760479,0.640269461077844,0.553323353293413,0.62697005988024,0.620377245508982,0.503586826347305,0.536646706586826,0.459802395209581,0.51348502994012,0.503994011976048
0.03,0.809622754491018,0.815844311377246,0.730874251497006,0.812922155688623,0.808796407185629,0.727808383233533,0.74385628742515,0.654125748502994,0.735035928143713,0.728035928143713
0.04,0.900874251497006,0.902922155688623,0.843520958083832,0.902880239520958,0.900437125748503,0.852287425149701,0.860544910179641,0.791766467065868,0.856275449101796,0.852335329341317
0.05,0.942095808383234,0.940197604790419,0.902898203592814,0.94325748502994,0.941826347305389,0.911161676646707,0.915281437125748,0.870095808383234,0.914005988023952,0.911215568862275
0.06,0.966874251497006,0.963592814371257,0.934455089820359,0.967622754491018,0.966640718562874,0.945502994011976,0.945556886227545,0.913119760479042,0.947556886227545,0.945526946107784
0.07,0.981479041916168,0.977658682634731,0.953952095808383,0.982065868263473,0.98140119760479,0.967592814371258,0.965604790419162,0.937724550898204,0.96885628742515,0.967562874251497
0.08,0.989844311377245,0.986221556886228,0.969419161676647,0.990119760479042,0.989748502994012,0.98037125748503,0.978119760479042,0.957107784431138,0.981449101796407,0.980383233532934
0.09,0.994982035928144,0.992988023952096,0.980634730538922,0.995191616766467,0.994940119760479,0.989844311377245,0.98762874251497,0.971880239520958,0.990419161676647,0.989826347305389
0.1,0.99774251497006,0.996185628742515,0.987748502994012,0.997826347305389,0.997718562874251,0.994796407185629,0.993017964071856,0.981718562874251,0.995095808383233,0.994790419161677
